	model	pairid	expected	unexpected	diff	acc
0	openai-community/gpt2	0	5.948192596435547	1.2409117221832275	4.707280874252319	False
1	openai-community/gpt2	1	5.628284931182861	2.9456846714019775	2.682600259780884	False
2	openai-community/gpt2	2	12.592690467834473	9.957180500030518	2.635509967803955	False
3	openai-community/gpt2	3	15.459270477294922	9.374608993530273	6.084661483764648	False
4	openai-community/gpt2	4	1.7582021951675415	0.0393193662166595	1.718882828950882	False
5	openai-community/gpt2	5	1.7792246341705322	0.0594002492725849	1.7198243848979473	False
6	openai-community/gpt2	6	4.006712913513184	4.26371431350708	-0.2570013999938965	True
7	openai-community/gpt2	7	4.5037312507629395	4.619834899902344	-0.1161036491394043	True
8	openai-community/gpt2	8	4.704710006713867	5.136828899383545	-0.43211889266967773	True
9	openai-community/gpt2	9	5.948192596435547	1.2409117221832275	4.707280874252319	False
10	openai-community/gpt2	10	5.628284931182861	2.9456846714019775	2.682600259780884	False
11	openai-community/gpt2	11	12.592690467834473	9.957180500030518	2.635509967803955	False
12	openai-community/gpt2	12	15.459270477294922	9.374608993530273	6.084661483764648	False
13	openai-community/gpt2	13	1.7582021951675415	0.0393193662166595	1.718882828950882	False
14	openai-community/gpt2	14	1.7792246341705322	0.0594002492725849	1.7198243848979473	False
15	openai-community/gpt2	15	4.006712913513184	4.26371431350708	-0.2570013999938965	True
16	openai-community/gpt2	16	4.5037312507629395	4.619834899902344	-0.1161036491394043	True
17	openai-community/gpt2	17	4.704710006713867	5.136828899383545	-0.43211889266967773	True
18	openai-community/gpt2	18	5.948192596435547	1.2409117221832275	4.707280874252319	False
19	openai-community/gpt2	19	5.628284931182861	2.9456846714019775	2.682600259780884	False
20	openai-community/gpt2	20	12.592690467834473	9.957180500030518	2.635509967803955	False
21	openai-community/gpt2	21	15.459270477294922	9.374608993530273	6.084661483764648	False
22	openai-community/gpt2	22	1.7582021951675415	0.0393193662166595	1.718882828950882	False
23	openai-community/gpt2	23	1.7792246341705322	0.0594002492725849	1.7198243848979473	False
24	openai-community/gpt2	24	4.006712913513184	4.26371431350708	-0.2570013999938965	True
25	openai-community/gpt2	25	4.5037312507629395	4.619834899902344	-0.1161036491394043	True
26	openai-community/gpt2	26	4.704710006713867	5.136828899383545	-0.43211889266967773	True
27	openai-community/gpt2	27	5.948192596435547	1.2409117221832275	4.707280874252319	False
28	openai-community/gpt2	28	5.628284931182861	2.9456846714019775	2.682600259780884	False
29	openai-community/gpt2	29	12.592690467834473	9.957180500030518	2.635509967803955	False
30	openai-community/gpt2	30	15.459270477294922	9.374608993530273	6.084661483764648	False
31	openai-community/gpt2	31	1.7582021951675415	0.0393193662166595	1.718882828950882	False
32	openai-community/gpt2	32	1.7792246341705322	0.0594002492725849	1.7198243848979473	False
33	openai-community/gpt2	33	4.006712913513184	4.26371431350708	-0.2570013999938965	True
34	openai-community/gpt2	34	4.5037312507629395	4.619834899902344	-0.1161036491394043	True
35	openai-community/gpt2	35	4.704710006713867	5.136828899383545	-0.43211889266967773	True
36	openai-community/gpt2	36	5.948192596435547	1.2409117221832275	4.707280874252319	False
37	openai-community/gpt2	37	5.628284931182861	2.9456846714019775	2.682600259780884	False
38	openai-community/gpt2	38	12.592690467834473	9.957180500030518	2.635509967803955	False
39	openai-community/gpt2	39	15.459270477294922	9.374608993530273	6.084661483764648	False
40	openai-community/gpt2	40	1.7582021951675415	0.0393193662166595	1.718882828950882	False
41	openai-community/gpt2	41	1.7792246341705322	0.0594002492725849	1.7198243848979473	False
42	openai-community/gpt2	42	4.006712913513184	4.26371431350708	-0.2570013999938965	True
43	openai-community/gpt2	43	4.5037312507629395	4.619834899902344	-0.1161036491394043	True
44	openai-community/gpt2	44	4.704710006713867	5.136828899383545	-0.43211889266967773	True
45	openai-community/gpt2	45	5.948192596435547	1.2409117221832275	4.707280874252319	False
46	openai-community/gpt2	46	5.628284931182861	2.9456846714019775	2.682600259780884	False
47	openai-community/gpt2	47	12.592690467834473	9.957180500030518	2.635509967803955	False
48	openai-community/gpt2	48	15.459270477294922	9.374608993530273	6.084661483764648	False
49	openai-community/gpt2	49	1.7582021951675415	0.0393193662166595	1.718882828950882	False
50	openai-community/gpt2	50	1.7792246341705322	0.0594002492725849	1.7198243848979473	False
51	openai-community/gpt2	51	4.006712913513184	4.26371431350708	-0.2570013999938965	True
52	openai-community/gpt2	52	4.5037312507629395	4.619834899902344	-0.1161036491394043	True
53	openai-community/gpt2	53	4.704710006713867	5.136828899383545	-0.43211889266967773	True
54	openai-community/gpt2	54	5.948192596435547	1.2409117221832275	4.707280874252319	False
55	openai-community/gpt2	55	5.628284931182861	2.9456846714019775	2.682600259780884	False
56	openai-community/gpt2	56	12.592690467834473	9.957180500030518	2.635509967803955	False
57	openai-community/gpt2	57	15.459270477294922	9.374608993530273	6.084661483764648	False
58	openai-community/gpt2	58	1.7582021951675415	0.0393193662166595	1.718882828950882	False
59	openai-community/gpt2	59	1.7792246341705322	0.0594002492725849	1.7198243848979473	False
60	openai-community/gpt2	60	4.006712913513184	4.26371431350708	-0.2570013999938965	True
61	openai-community/gpt2	61	4.5037312507629395	4.619834899902344	-0.1161036491394043	True
62	openai-community/gpt2	62	4.704710006713867	5.136828899383545	-0.43211889266967773	True
63	openai-community/gpt2	63	5.948192596435547	1.2409117221832275	4.707280874252319	False
64	openai-community/gpt2	64	5.628284931182861	2.9456846714019775	2.682600259780884	False
65	openai-community/gpt2	65	12.592690467834473	9.957180500030518	2.635509967803955	False
